Org,Number
"""Servers Australia Pty Ltd""",1
"""Fluidsoft Incorporated""",2
"""MAINT-APNIC-AP""",3
"""Maynooth University""",4
"""FULLSAVE-MNT""",5
"""Canonical USA Inc""",6
"""BLIX-MNT""",7
"""Nine Internet Solutions AG""",8
"""Routingnetwork of Nexellent AG""",9
"""OVH Hosting route""",10
"""Institute of Nuclear Physics""",11
"""PL-MAXNET-MNT""",12
"""ZEN-MNT""",13
"""City of Phoenix""",14
"""MNT-FIBIA""",15
"""EUSKILL-HM-MNT""",16
"""Digital United Inc""",17
"""imported inetnum object for MO""",18
"""NIIF-MNT""",19
"""STREAMS-MNT""",20
"""AAPT Limited""",21
"""MIPT-TELECOM Network services""",22
"""CLDIN-MNT""",23
"""CITYTELECOM-RIPE-MNT""",24
"""Everstream""",25
"""Performance Technology""",26
"""SWITCH-MNT""",27
"""MNT-INTERNIC""",28
"""OJSC North-West Telecom""",29
"""N̼cleo de Inf e Coord do Po""",30
"""Wikstrom Telephone Company""",31
"""Calypso Medical Technologies""",32
"""Lemuria Communications Inc""",33
"""OBIT-MNT""",34
"""Vegasystems Core""",35
"""AHRT-MNT""",36
"""Online SAS - Dedibox""",37
"""MNET-MNT""",38
"""Government Service Network""",39
"""Netsville""",40
"""Magenta Telekom""",41
"""FLF-FLTG-NET""",42
"""Charite - Universitaetsmedizin""",43
"""SKIF-MNT""",44
"""QuickPacket""",45
"""Condointernetnet""",46
"""RamNode LLC""",47
"""Rensselaer Polytechnic Institu""",48
"""KSZ-CH-MNT""",49
"""CDNetworks""",50
"""Netwurx""",51
"""Utah Education Network""",52
"""FDCserversnet""",53
"""BAHNHOF-NCC""",54
"""MNT-DATACAMPUS""",55
"""University of Leicester""",56
"""Proxad / Free SAS""",57
"""ColoCenter bv""",58
"""Early registration addresses""",59
"""WAVE DATA CENTERS""",60
"""SAKURA Internet Inc""",61
"""MNT-CANBY""",62
"""SolNet PoP Zuchwil""",63
"""VegasNAP""",64
"""DFN Verein zur Foerderung eine""",65
"""Washington School Information """,66
"""fast IT Colocation""",67
"""Exetel Corporate Customers""",68
"""SMNT-MNT""",69
"""Mediahub Australia Pty Ltd""",70
"""Lirexnet PA route-object""",71
"""KPN-MNT""",72
