%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	34	0x0400000000004000	1647980344.696444	1647980355.432116	10.735672	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49632	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_14	DWnetTech,CN_-	443	https	14	13	2020	5764	0	1448	144.2857	342.1708	0	10.02616	0.7668338	2.460148	1.304064	188.1578	0.03703704	-0.4809866	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2766834270	13	2020	0	13	5764	0	1606	14600	27441.69	14600	29088	0	5	1	0	0x011b	0x0000	14	44	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294949270	2989344717	0.01	42949491.740004	1605030863.692112	0.065994	0.065273	0.077313	0.06803792	0.00398376	0.069445	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	6	8	1.6
B	34	0x0400000000004001	1647980344.762438	1647980355.430260	10.667822	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49632	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_13	-_DWnetTech,CN	443	https	13	14	5764	2020	0	1448	443.3846	564.2928	0	10.09517	0.8206017	2.565304	1.218618	540.3165	-0.03703704	0.4809866	0x0213	1	30177	48	48	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1707091127	13	5764	0	13	2020	0	3114	62643	61041.93	60928	62643	4	0	0	0	0x031b	0x0000	13	41	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989344718	4294949263	0.001	2989344.859986	1644991010.570274	0.003451	0.001856	10.02989	1.485008	3.347117	1.553046	3.34712	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	5	7	7
A	39	0x0400000000004000	1647980355.424734	1647980358.266098	2.841364	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49636	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_14	DWnetTech,CN_-	443	https	14	13	2020	5781	0	1448	144.2857	342.1708	0	2.087993	0.2029546	0.5081431	4.927211	710.9262	0.03703704	-0.4821177	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1144300612	13	2020	0	13	5781	0	1606	14600	27441.69	14600	29088	0	5	1	0	0x011b	0x0000	14	44	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294949553	2989347551	0.01	42949494.570004	1605030863.696095	0.062824	0.062396	0.07053	0.06448676	0.002605276	0.081219	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	4	6	1.2
B	39	0x0400000000004001	1647980355.487558	1647980358.264178	2.776620	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49636	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_13	-_DWnetTech,CN	443	https	13	14	5781	2020	0	1448	444.6923	565.1207	0	2.15428	0.2135862	0.5452807	4.681952	2082.028	-0.03703704	0.4821177	0x0213	1	62861	47	47	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2652607730	13	5781	0	13	2020	0	3114	62643	61032.31	60928	62643	3	0	0	0	0x031b	0x0000	13	41	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989347551	4294949547	0.001	2989347.692986	1644991010.571192	0.018395	0.00192	2.091884	0.3617211	0.6882074	0.4262078	0.6882124	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	3	5	5
A	44	0x0400000000004000	1647980358.600718	1647980360.260880	1.660162	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	40023	54.212.87.19	us	"Amazoncom"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_161	DWnetTech,CN_-	443	https	161	90	212659	3641	0	1448	1320.863	375.6451	0	0.522172	0.01031156	0.0474186	96.97849	128095.3	0.2828685	0.9663338	0x0a13	1	2	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3892149338	157	257547	1	160	3641	0	29437	14600	23296	14600	23296	0	4	1	0	0x011b	0x0244	161	485	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294949753	2145440269	0.01	42949496.570004	1605030863.690877	0.066695	2.2e-05	0.514689	0.03070219	0.0574776	0.069647	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	4	0.8
B	44	0x0400000000004001	1647980358.667413	1647980360.258671	1.591258	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		54.212.87.19	us	"Amazoncom"	443	192.168.2.7	07	"Private network"	40023	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_90	-_DWnetTech,CN	443	https	90	161	3641	212659	0	1448	40.45555	198.07	0	0.448163	0.01768065	0.05939147	56.55902	2288.127	-0.2828685	-0.9663338	0x4a33	1	26108	48	48	0	0x00	0x2000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	699227188	90	3641	0	90	212659	12	3474	62643	56412.71	6912	62643	9	2	1	0	0x031b	0x0008	90	311	0x0000013e	1460	128	0x0000	0x00	0	0x00	2145440271	4294949746	0.001	2145440.372903	1645834919.885769	0.002952	0.000111	0.299045	0.0117711	0.03124352	0.04247329	0.06542043	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	3	3
A	1	0x0000000000000004	1647980308.492198	1647980308.492198	0.000000	1	2	eth:llc	e4:26:86:f2:ef:b7	ff:ff:ff:ff:ff:ff	0x0001		-	-	"-"	0	-	-	"-"	0	0	0x00	1	e4:26:86:f2:ef:b7_ff:ff:ff:ff:ff:ff_1	DWnetTech,CN_Broadcast	0	unknown	1	0	3	0	3	3	3	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	2	0x0000000000000004	1647980308.501298	1647980308.508629	0.007331	1	2	eth:eapol	06:b4:d7:d0:b1:32	e4:26:86:f2:ef:b7	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	06:b4:d7:d0:b1:32_e4:26:86:f2:ef:b7_2	-_DWnetTech,CN	0	unknown	2	2	254	220	99	155	127	19.79899	0	0.007331	0.0036655	0.0025919	272.8141	34647.39	0	0.07172996	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	2	0x0000000000000005	1647980308.507817	1647980308.511885	0.004068	1	2	eth:eapol	e4:26:86:f2:ef:b7	06:b4:d7:d0:b1:32	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	e4:26:86:f2:ef:b7_06:b4:d7:d0:b1:32_2	DWnetTech,CN_-	0	unknown	2	2	220	254	99	121	110	7.778174	0	0.004068	0.002034	0.001438255	491.6421	54080.63	0	-0.07172996	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	3	0x0400000000004000	1647980309.056958	1647980327.932709	18.875751	1	3	eth:ipv4:udp	e4:26:86:f2:ef:b7	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	e4:26:86:f2:ef:b7_ff:ff:ff:ff:ff:ff_8	DWnetTech,CN_Broadcast	67	bootps	8	0	2444	0	304	316	305.5	3.712311	0	3.204134	2.359469	1.149888	0.4238242	129.4783	1	1	0x0001	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
