%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	8	0x0400000000004000	1556575925.950625	1556575925.950625	0.000000	1	3	eth:ipv4:udp	50:c7:bf:b1:d2:78	8a:60:8a:92:83:f6	0x0800		192.168.20.229	07	"Private network"	68	192.168.20.254	07	"Private network"	67	17	0x00	1	50:c7:bf:b1:d2:78_8a:60:8a:92:83:f6_1	TPLinkTec,CN_-	67	bootps	1	1	548	301	548	548	548	0	0	0	0	0	0	0	0	0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.220818	0.220818	0.220818	0.220818	0	0.220818	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	8	0x0400000000004001	1556575926.171443	1556575926.171443	0.000000	1	3	eth:ipv4:udp	8a:60:8a:92:83:f6	50:c7:bf:b1:d2:78	0x0800		192.168.20.254	07	"Private network"	67	192.168.20.229	07	"Private network"	68	17	0x00	1	8a:60:8a:92:83:f6_50:c7:bf:b1:d2:78_1	-_TPLinkTec,CN	67	bootps	1	1	301	548	301	301	301	0	0	0	0	0	0	0	0	-0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.220818	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	10	0x0400000000004000	1556576225.744907	1556576225.744907	0.000000	1	3	eth:ipv4:udp	50:c7:bf:b1:d2:78	8a:60:8a:92:83:f6	0x0800		192.168.20.229	07	"Private network"	68	192.168.20.254	07	"Private network"	67	17	0x00	1	50:c7:bf:b1:d2:78_8a:60:8a:92:83:f6_1	TPLinkTec,CN_-	67	bootps	1	1	548	301	548	548	548	0	0	0	0	0	0	0	0	0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.223743	0.223743	0.223743	0.223743	0	0.223743	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	10	0x0400000000004001	1556576225.968650	1556576225.968650	0.000000	1	3	eth:ipv4:udp	8a:60:8a:92:83:f6	50:c7:bf:b1:d2:78	0x0800		192.168.20.254	07	"Private network"	67	192.168.20.229	07	"Private network"	68	17	0x00	1	8a:60:8a:92:83:f6_50:c7:bf:b1:d2:78_1	-_TPLinkTec,CN	67	bootps	1	1	301	548	301	301	301	0	0	0	0	0	0	0	0	-0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.223743	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	11	0x0000000000000004	1556576478.848149	1556576478.848149	0.000000	1	2	eth:eapol	50:c7:bf:b1:d2:78	02:e5:43:8e:83:f1	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:b1:d2:78_02:e5:43:8e:83:f1_1	TPLinkTec,CN_-	0	unknown	1	0	99	0	99	99	99	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	12	0x0400000000004000	1556576526.569770	1556576526.569770	0.000000	1	3	eth:ipv4:udp	50:c7:bf:b1:d2:78	8a:60:8a:92:83:f6	0x0800		192.168.20.229	07	"Private network"	68	192.168.20.254	07	"Private network"	67	17	0x00	1	50:c7:bf:b1:d2:78_8a:60:8a:92:83:f6_1	TPLinkTec,CN_-	67	bootps	1	1	548	301	548	548	548	0	0	0	0	0	0	0	0	0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.21026	0.21026	0.21026	0.21026	0	0.21026	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	12	0x0400000000004001	1556576526.780030	1556576526.780030	0.000000	1	3	eth:ipv4:udp	8a:60:8a:92:83:f6	50:c7:bf:b1:d2:78	0x0800		192.168.20.254	07	"Private network"	67	192.168.20.229	07	"Private network"	68	17	0x00	1	8a:60:8a:92:83:f6_50:c7:bf:b1:d2:78_1	-_TPLinkTec,CN	67	bootps	1	1	301	548	301	301	301	0	0	0	0	0	0	0	0	-0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.21026	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	9	0x0000000000000044	1556576157.552137	1556576628.848191	471.296054	1	2	eth:arp	8a:60:8a:92:83:f6	50:c7:bf:b1:d2:78	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	8a:60:8a:92:83:f6_50:c7:bf:b1:d2:78_7	-_TPLinkTec,CN	0	unknown	7	7	322	196	46	46	46	0	0	161.7959	67.328	55.24378	0.01485266	0.6832224	0	0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	9	0x0000000000000045	1556576157.553761	1556576628.874273	471.320512	1	2	eth:arp	50:c7:bf:b1:d2:78	8a:60:8a:92:83:f6	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:b1:d2:78_8a:60:8a:92:83:f6_7	TPLinkTec,CN_-	0	unknown	7	7	196	322	28	28	28	0	0	161.7741	67.3315	55.23825	0.01485189	0.4158529	0	-0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	13	0x0400000000004000	1556576827.357333	1556576827.357333	0.000000	1	3	eth:ipv4:udp	50:c7:bf:b1:d2:78	8a:60:8a:92:83:f6	0x0800		192.168.20.229	07	"Private network"	68	192.168.20.254	07	"Private network"	67	17	0x00	1	50:c7:bf:b1:d2:78_8a:60:8a:92:83:f6_1	TPLinkTec,CN_-	67	bootps	1	1	548	301	548	548	548	0	0	0	0	0	0	0	0	0.2909305	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.21566	0.21566	0.21566	0.21566	0	0.21566	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
